CPU_PIN,IRQ,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,AF27,AF28,AF29,AF30,AF31
P406,IRQ31,,,GPT:GTIOC1B,SCI:TXD2_B/SDA2_B/MOSI2_B:B,,SPI:SSLA3_C:C,,,,,,,,,CEU:VIO_D3,,,SSIE:SSIRXD0_A:A,,,SDHI:SD1CD,ESWM(GMII/MII):ET0_RXD3,,ESWM(RGMII):RGMII0_RXD3,,,,,,,
P413,IRQ18,,GPT:GTOUUP,GPT:GTCPPO7,,,,,,,,BUS:A22,,,,,,,,,,,ESWM(GMII/MII):ET_TAS_STA3,,,,,,,,ULPT:ULPTEE1,
P414,IRQ9,,,GPT:GTIOC0B,SCI:RXD4_B/SCL4_B/MISO4_B:B,,SPI:SSLB0_B:B,,,,,BUS:A23,,,,CEU:VIO_CLK,CANFD:CRX1,,,,,,ESWM(GMII/MII):ET1_MDIO,,,,,,,,,
P415,IRQ8,,,GPT:GTIOC0A,SCI:TXD4_B/SDA4_B/MOSI4_B:B,,SPI:RSPCKB_B:B,,,,,BUS:WAIT,,,,CEU:VIO_HD,CANFD:CTX1,,,,,,ESWM(GMII/MII):ET1_MDC,,,,,,,,,
P511,IRQ15,,,GPT:GTIOC0B,SCI:CTS_RTS8_A/SS8_A:A,,,IIC/I3C:SDA1_A:A,,,,,,SCI:DE8,,,CANFD:CRX1,,,,,,ESWM(GMII/MII):ET1_LINKSTA,,,,,,,,,
P512,IRQ14,,,GPT:GTIOC0A,SCI:CTS8_A:A,,,IIC/I3C:SCL1_A:A,,,,,,,,,CANFD:CTX1,,,,,,ESWM(GMII/MII):ET1_INT,,,,,,,,,
P513,IRQ31,,,GPT:GTIOC13B,SCI:SCK8_A:A,,,,,,,,,SCI:DE8,,CEU:VIO_FLD,,,,,,,ESWM(GMII/MII):ET0_INT,,,GLCDC:LCD_TCON3_B:B,,,,,,
P514,IRQ13,,,GPT:GTIOC13B,SCI:SCK4_C:C,,,IIC/I3C:SDA2_B:B,,,,,,SCI:DE4,,,,,,,,,ESWM(GMII/MII):ET_TAS_STA1,,,GLCDC:LCD_EXTCLK_B:B,,,,,,
P515,IRQ12,,,GPT:GTIOC13A,SCI:CTS_RTS4_C/SS4_C:C,,,IIC/I3C:SCL2_B:B,,,,,,SCI:DE4,,,,,,,,,ESWM(GMII/MII):ET_TAS_STA0,,,GLCDC:LCD_CLK_B:B,,,,,,
P600,IRQ30,,,GPT:GTIOC6B,,,,,,,CAC/ADC16H:CACREF,,,,,,,,,,,,ESWM(GMII/MII):ET1_WOL,,,,,,OSPI:OM_0_RSTO1,,ULPT:ULPTEVI1-DS,
